Sets,Number,Foil
Sword & Shield,50,Holo
Sword & Shield,49,Holo
Stellar Crown,31,Reverse
Destined Rivals,50,Non-Holo
Fusion Strike,54,Non-Holo
Plasma Blast,17,Non-Holo
Brilliant Stars,31,Non-Holo
Paldean Fates,16,Non-Holo
Obsidian Flames,45,Non-Holo
Paldea Evolved,274,Holo
Stellar Crown,147,Holo
Twilight Masquerade,176,Holo
Scarlet & Violet,207,Holo
Silver Tempest Trainer Gallery,TG11,Holo
Shining Fates,72,Holo
Destined Rivals,184,Holo
Lost Origin Trainer Gallery,TG02,Holo
Silver Tempest,7,Holo
Stellar Crown,30,Holo
Paradox Rift,46,Holo
Scarlet & Violet,86,Holo
Obsidian Flames,135,Holo
Evolving Skies,95,Non-Holo
Paradox Rift,151,Non-Holo
Silver Tempest,141,Non-Holo
Surging Sparks,148,Non-Holo
Journey Together,107,Holo
Journey Together,116,Holo
Lost Origin,110,Non-Holo
Lost Origin,102,Non-Holo
Twilight Masquerade,100,Reverse
Lost Origin,52,Non-Holo
Scarlet & Violet,68,Reverse
Paldea Evolved,74,Non-Holo
Evolving Skies,53,Non-Holo
Silver Tempest,52,Non-Holo
Paldea Evolved,80,Reverse
Temporal Forces,58,Non-Holo
Destined Rivals,7,Non-Holo
Destined Rivals,8,Holo
BREAKpoint,8,Non-Holo
Evolving Skies,10,Non-Holo
Journey Together,7,Non-Holo
Paradox Rift,9,Non-Holo
Obsidian Flames,17,Reverse
Silver Tempest,16,Holo
Chilling Reign,15,Reverse
Journey Together,18,Reverse
Destined Rivals,67,Non-Holo
Temporal Forces,46,Reverse
Sun & Moon,41,Reverse
151,7,Non-Holo
Twilight Masquerade,54,Non-Holo
Paldea Evolved,87,Non-Holo
Paradox Rift,86,Non-Holo
Astral Radiance,60,Non-Holo
Silver Tempest,68,Non-Holo
Temporal Forces,79,Non-Holo
Brilliant Stars,140,Non-Holo
Destined Rivals,163,Non-Holo
Silver Tempest,164,Non-Holo
Fusion Strike,240,Non-Holo
Brilliant Stars,138,Reverse
Scarlet & Violet,179,Non-Holo
Paldea Evolved,179,Reverse
